wrld_320cdd4c-219d-4c06-82d5-0fb469eec248	1	0	VRCon	VRCon 2021's Community Festival
wrld_73b2c64b-1c31-4400-8d27-c420065197a1	1	0	x	HorrorCon 2022
wrld_60bcdb81-aca1-4425-b8a0-1c5b721158b5	1	0	x	Furality Aqua (2022)
wrld_208144d8-3625-4b8c-8f51-9f7226807f67	1	0	x	GensoKon (2021)
wrld_dfbecb47-7f43-4dbd-8192-3bb007748c46	1	0	x	VRCon -> Happy Hill Dog Park
wrld_25f5ada9-5202-4a5a-ab9d-bd17909806c9	1	0	x	DoKomi 2020's Creamy Island
wrld_fb4edc80-6c48-43f2-9bd1-2fa9f1345621	1	0	Thorinair	Luminescent Ledge
wrld_ab26801c-19ef-40e1-8bb3-1730cf425513	1	0	OhGeezCmon	Party Tub
wrld_fb3ba039-37eb-42e8-aeb9-0d16ea9683e4	1	0	lefty7283	Astrophotography House
wrld_791ebf58-54ce-4d3a-a0a0-39f10e1b20b2	1	0	Doxis	MOVIE & CHILL
wrld_b2d9f284-3a77-4a8a-a58e-f8427f87ba79	1	0	AcChosen	Club Orion
wrld_ecefd6f8-726e-4321-bdb1-730636df484e	1	0	Ashelia	DanceDanceVR
wrld_4c657dee-8604-425b-a21a-e27c05079717	1	0	Hadean	TUBE VR
wrld_912760ee-aa19-4442-8b6a-b81721aeb8f0	1	0	x	Rizumu (new ver. privated!)
wrld_5e8adb56-e91f-4e92-93e4-df04a5398395	1	0	_kye	_REALITY
wrld_be44ce4f-bba9-475d-be91-541a927ad2ee	1	0	x	Sly Fest '22 Mini 1: The Search
wrld_f8fa7690-db06-4994-9a3f-36b14590e42e	1	0	x	SLY FEST 2022: AZURIA
wrld_f920e284-9607-4dda-9fc3-46f5db79878f	1	0	Skuld	Scarlet Devil Mansion Party
wrld_6caf5200-70e1-46c2-b043-e3c4abe69e0f	1	0	owlboy	The Great Pug
wrld_7d2af18c-e4a1-4084-9cd2-b27432b45980	1	0	Iris Alias	iY MMD World 1․4
wrld_6ebfc3e2-3553-4cd3-9aca-1ee5e84f7811	1	0	Lealennia	Cozy Boat
wrld_736bad27-4663-4346-a345-26e1e859d94e	1	0	ITOAR	Japan Shrine
wrld_f8474f94-684c-47be-84fd-a7ce90a1b5ce	1	0	Lucifer MStar	Winter Company
wrld_8d740b03-93a4-4153-99de-9fd67d86d4ae	1	0	DvLRaphy	Sunset Retreat
wrld_1a4d52fa-99e6-48f9-979d-a4802f45b506	1	0	WispyWoo	Dérive Express
wrld_e8394fd9-c921-4858-be0a-b56d085acc9f	1	0	Nᴀʏᴜᴋɪ-ᴇ	The Bridge
wrld_2902b80d-f4ba-48b8-b325-27227bff7500	1	0	Sombie	Oceans Away
wrld_23cb275f-bc8e-4f62-998a-b16053b1cdf6	1	0	Spookyghostboo	Hidden Heights
wrld_5cf45207-33af-4262-8a07-6413b2efa1de	1	0	Tigertwista	A Tiger's Refuge
wrld_beb7200e-2745-4431-94fe-89d9092d4423	1	0	by백영	Rest & Memory Place
wrld_0c3caeaa-7224-4800-aa64-bc473ccb18a2	1	0	tp.jp	Starlight lane
wrld_d29bb0d0-d268-42dc-8365-926f9d485505	1	0	ImLexZ	Midnight Rooftop
wrld_3d892cf2-cd4a-4322-9e7e-2ec0cd7ea44c	1	0	Coffeepot	Afterdark Plaza
wrld_0729c818-2397-4d80-84e2-dbd43844361e	1	0	TeddieP4	Serenity Sleepover
wrld_5e778b1b-88c7-4f44-8ff3-a3f289816fd0	1	0	Bob64	Experimental Sign Language World (Udon)
wrld_153be667-a86e-4aaf-9eed-921bd568ee9b	1	0	BocuD	EN-JP Language Exchange
wrld_0b4d0aaa-5af9-4bf7-a03a-9d1682752a56	1	0	fuopy!	Toki Pona VR
wrld_e06d9a71-24b7-45f4-a8a8-9b829bd29f75	1	0	Bob64	FearlessKoolAid's Helping Hands HQ
wrld_f049a1cd-4a8f-4d06-9858-70719beb538f	1	0	E3	Astro Magic Library
wrld_808dcaeb-416f-4558-aeb1-c19e4b2e287c	1	0	AstroRabbit	STEM Tea Time
wrld_61ad9e30-e074-4c68-b380-9e68c9ab6840	1	0	AstroRabbit	Museum Hub World
wrld_c5b6f0a6-04c2-4c53-9e1f-add74096009d	1	0	x	(VRC Science Assembly Placeholder)
wrld_d7d17b00-2b7b-4d29-b69c-f2b2dbc85567	1	0	Satchi	Purple Lotus (Elevator)
wrld_346ed6df-5d37-42ad-bde9-ab090190135f	1	0	D4xter Kasai	VRCon RolePlay Booths
wrld_dbf2dee1-26de-4fc0-892d-1338b88636ab	1	0	ZirconSwift	Skits 'n' Bits Theatre
wrld_d8e823c1-18b2-4bc2-8ba8-df7d4095ada2	1	0	Mc Nasty	Improv Knight
wrld_cb14d852-701c-4d7d-ad57-d2a81bfde323	1	0	TheAlaskanJew	PunchLine Comedy Club
wrld_551c30cb-0e56-4c69-9176-10e259a89e2a	1	0	1001 & SCRN	Treehouse in the Shade
wrld_e54f6579-ceb1-4805-a967-e869e586b8d2	1	0	CNLohr	Ballpit and Lo-Fi
wrld_ff8b4a6e-4268-4783-bc16-3103067a4be6	1	0	Faxmashine & blueasis	Super VR Ball
wrld_79e0100d-f0f9-498a-8976-e3fc8a70ca2a	1	0	Jar	Spirit Speak Game
wrld_b2c574c6-9a6e-4bcc-b74e-1284070c324f	1	0	Jar	Magic Freeze Tag
wrld_98422193-2ddd-4af4-bd97-ab5609a46785	1	0	キャンディちゃん	BOMBERio
wrld_70353369-ba69-46ab-a20b-f6112c82adba	1	0	Ostinyo	Putt-Putt Quest
wrld_ab68f896-a21f-4d72-a016-5a0a42c3158f	1	0	Ostinyo	Putt-Putt Pond
wrld_5a528c03-01f5-4399-8f0d-cbcc5c305a57	1	0	Haï~	VRWare
wrld_fc7d0eb9-ec47-41db-b429-6af912e78fe1	1	0	IgbarVonSquid	Surf_Udon
wrld_9157c81d-24fe-402d-8ba9-2e0ae6e15fa2	1	0	MyroP	Lightcycle Arena
wrld_8be08902-6cb2-43f5-a978-b12d9310b26a	1	0	TORISOUP	Grapnel Gun Playground
wrld_0300ade5-3e55-4768-8c43-cfb6fd8ddb32	1	0	TORISOUP	Urban Zipline
wrld_3d892cf2-cd4a-4322-9e7e-2ec0cd7ea44c	1	0	Coffeepot	Afterdark Plaza
wrld_9080e0d1-af66-4caf-a968-fa41e63baaed	1	0	VRrOOm	M1n0 KOTWS
wrld_7350dbf7-f3e8-4482-9e41-e38ace9e3a8d	1	0	Khyaber	Mini Golf Madness
wrld_c5d5cc68-4f4f-443b-ba1b-11bbc09495d1	1	0	Khyaber	Off-Season Mini Golf
wrld_c4cb4e91-8d34-467f-873d-bbe72b92d21a	1	0	Jar	Overseer
wrld_32402c8f-f897-4ed6-8266-cd22fdce3313	1	0	NoLife1942	Infested
wrld_0ec97c4f-1e84-4a3a-9e3a-fa3075b6c56d	1	0	NoLife1942	Ghost - Police Office
wrld_14750dd6-26a1-4edb-ae67-cac5bcd9ed6a	1	0	Ostinyo	Prison Escape!
wrld_dd201c97-22b3-4e50-97f5-1759b9670db9	1	0	リノール	SquatGym
wrld_d00040c0-4ec7-48d9-bbef-04e72c907fd6	1	0	red-panda	Video Fitness and Dance Studio
wrld_42377cf1-c54f-45ed-8996-5875b0573a83	1	0	Mixie!	VR Dancing ｜ Just Dance 2023 ｜ VRDancing
wrld_f20326da-f1ac-45fc-a062-609723b097b1	1	0	pypy	PyPyDance （Just Dance）
wrld_8569852d-c089-4df1-87b1-e022d4699438	1	0	akalink	VR Fitness & Biking Gym
